,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,category,,,,,
90369,aveqqTTutqV5tOl3_SeI8A,"""Tinoco's Bistro""",Westside,"""103 E Charleston Blvd, Suite 107""",Las Vegas,NV,89107,36.171184,-115.211622,4.5,9,0,French,,,,,
90665,cNBTDuIAQkqRLl_OxMl-2w,"""Felix Hot Dog Taco Shop""",Downtown,"""1516 S Las Vegas Blvd""",Las Vegas,NV,89104,36.1524766,-115.1519918,4.5,7,0,Mexican,,,,,
90744,NQhPS0MUKJgBUB6PTLlmzA,"""Pho Bosa""",Chinatown,"""3711 S Valley View""",Las Vegas,NV,89102,36.12240497,-115.1909584,4,588,1,other,,,,,
90791,hPtLBHnfTjIefcnwZh48jA,"""Joe's Crab Shack""",Eastside,"""4402 N University Dr""",Las Vegas,NV,89014,36.1086048,-115.1046725,3.5,31,0,American,,,,,
90814,e9julbRI_7QEI5WcFqBvYw,"""Cafe Mitz""",University,"""4550 S Maryland Pkwy""",Las Vegas,NV,89120,36.1068493,-115.1372406,3.5,9,0,Japanese,,,,,
90815,2bK1ng2mnRdtTh_BDNGmIg,"""North End Pizza""",Centennial,"""6440 N Durango Dr""",Las Vegas,NV,89149,36.2777222,-115.2863093,3,287,1,Italian,,,,,
90874,e1qIWEYgYjTJG1zHr4rwxg,"""Burger King""",The Lakes,"""8699 W Sahara Ave""",Las Vegas,NV,89117,36.1435859,-115.2815636,3,35,1,Fast Food,,,,,
90886,vpoXE7CsEMZNzBMDvkuqHg,"""Aranya Thai Bistro""",Spring Valley,"""4195 S Grand Canyon Pkwy, Ste 104""",Las Vegas,NV,89147,36.1136929,-115.3075716,3.5,75,0,other,,,,,
90970,nVAJZ6BJ9PPlxDXn976R6A,"""In-N-Out Burger""",,"""4888 Dean Martin Dr""",Las Vegas,NV,89103,36.1013195,-115.1821862,4,954,1,other,,,,,
91201,TgbzzpwFaTIXNgwwI1ih1w,"""Tides Oyster Bar""",South Summerlin,"""11011 W Charleston Blvd""",Las Vegas,NV,89135,36.1556178,-115.3344727,3.5,7,0,other,,,,,
91412,JSHUcxKlD6c_zZ1_YUBl6A,"""Del Taco""",Anthem,"""10485 South Spencer St""",Las Vegas,NV,89183,35.9990236,-115.126813,2,39,1,Fast Food,,,,,
91475,u_8cVZyxh0J468zEZUjNDQ,"""Pin-Up Pizza""",The Strip,"""3667 Las Vegas Blvd S""",Las Vegas,NV,89109,36.109496,-115.172363,4,443,1,other,,,,,
91525,#NAME?,"""Einstein Bros Bagels""",Spring Valley,"""9540 W Flamingo Rd""",Las Vegas,NV,89147,36.115656,-115.300165,3,85,1,other,,,,,
91526,QJAllc88CdYS9m5QMjg5dQ,"""Ilopango Salvadorean Restaurant""",Eastside,"""3430 E Tropicana Ave""",Las Vegas,NV,89121,36.1006486,-115.099351,3,28,1,Latin American,,,,,
91635,KDoeU7uY1v9VMNOsBvGdIA,"""Korea House BBQ""",,"""4435 Las Vegas Blvd N""",Las Vegas,NV,89115,36.2409341,-115.0538879,3.5,3,0,other,,,,,
91728,lmNpuLiA6Jtn3lL2Ec43Qw,"""Playas De Cancun""",Downtown,"""3513 E Charleston St""",Las Vegas,NV,89104,36.1587529,-115.0971613,4,11,1,Mexican,,,,,
91845,yniif9v-2PpVIbsotxv6OA,"""Dino's Little Italy""",The Strip,"""3743 Las Vegas Blvd""",Las Vegas,NV,89109,36.106542,-115.17204,2,6,1,Italian,,,,,
91867,Qor28v4BlhSwtN8DSvah9g,"""Pepe's Tacos""",,"""1401 N Decatur Blvd""",Las Vegas,NV,89108,36.18557,-115.207581,3.5,154,1,Mexican,,,,,
92029,jWv5GUtEp30OD5L5C8c2DQ,"""Mr. Mamas""",,"""5580 S Decatur Blvd, Ste 112""",Las Vegas,NV,89118,36.088774,-115.207338,4.5,1121,0,American,,,,,
92089,OMbjJPku6q8dmkgpXC7vtQ,"""AJ's Steakhouse""",Eastside,"""4455 Paradise Rd""",Las Vegas,NV,89109,36.1100828,-115.1538714,3.5,13,0,other,,,,,
92154,bxQUVVI8LR5RmyTYYJq07A,"""Pearl Wok To Go""",Westside,"""8550 W Charleston Blvd, Ste 100""",Las Vegas,NV,89117,36.159901,-115.278969,3.5,101,1,Chinese,,,,,
92468,prHnRsgY-PuM7vxe8-RwEA,"""Ho Ho Ho Chinese""",Summerlin,"""10217 W Charleston Blvd""",Las Vegas,NV,89135,36.1584825,-115.3171465,2,92,1,Chinese,,,,,
92479,mnU3iGsL55MCWXiWV3AcAQ,"""In-N-Out Burger""",Centennial,"""5690 Centennial Center Blvd""",Las Vegas,NV,89149,36.2652651,-115.2570317,4,172,1,other,,,,,
92530,igU-mCXzyn-gmwSzJgeMEQ,"""The Pizza Kitchen""",Spring Valley,"""5270 S Fort Apache Rd, Ste 320""",Las Vegas,NV,89148,36.09310063,-115.2965617,4.5,182,1,Italian,,,,,
92535,b_hWBsHyvcEORbyMclneZg,"""Bleu Gourmet""",Westside,"""8751 W Charleston Blvd, Ste 110""",Las Vegas,NV,89117,36.1584817,-115.2857741,4,6,0,other,,,,,
92816,8fiZjbPMgg4qDSLIdZsWZg,"""Sunshine Cafe""",,"""1581 N Decatur Blvd""",Las Vegas,NV,89108,36.1878766,-115.2062861,4,39,0,other,,,,,
93052,VAEMdy7M4Cm0fn_Itteemw,"""Brigg's Oyster""",Westside,"""9090 Alta Dr""",Las Vegas,NV,89145,36.1691108,-115.2913032,3.5,63,1,other,,,,,
93141,KhvuMJpYNNySVxsu2o1eqg,"""Geisha House Steak & Sushi""",Spring Valley,"""6125 S Fort Apache Rd, Ste 200""",Las Vegas,NV,89148,36.0765586,-115.2986392,3.5,64,0,Japanese,,,,,
93175,jgtEoeE2uoA27J_UvbE20g,"""Uncle Joe's Pizza""",Downtown,"""505 Fremont St""",Las Vegas,NV,89101,36.1691679,-115.1405453,4,110,0,other,,,,,
93240,U3wxnGKk2H4uhBkRmXWGZA,"""The New Orleans Connection""",Southeast,"""9711 S Eastern Ave, Ste H9""",Las Vegas,NV,89123,36.0123098,-115.1189623,4,7,0,other,,,,,
93585,gMUAn6xcuE-TbY1seFw_Ww,"""Presto Calzone Bakery""",Centennial,"""7501 N Cimarron Rd, Ste 108""",Las Vegas,NV,89131,36.29733,-115.270268,4.5,188,1,other,,,,,
93648,lD5lowsGjnU71NzA1L3-hA,"""Schoop's Hamburgers""",,"""9151 Las Vegas Blvd S, Ste 342""",Las Vegas,NV,89162,36.175,-115.136389,3,5,0,other,,,,,
93661,QWbP1vKQOFjN-6pr0-78zQ,"""Don Tortaco Mexican Grill""",Southeast,"""7455 S Eastern Ave""",Las Vegas,NV,89123,36.05448709,-115.1187443,3,75,1,Mexican,,,,,
93943,2GQ0DbNf7Wkhws7kFiU_Qw,"""Wurstle Gourmet Sausages""",Southeast,"""6629 Las Vegas Blvd S""",Las Vegas,NV,89119,36.0667781,-115.1722474,2.5,13,0,other,,,,,
94100,k2b3niokS_tosjah_rzCPw,"""Metro Pizza""",Centennial,"""6720 Sky Pointe Dr""",Las Vegas,NV,89131,36.2836534,-115.2702535,3.5,255,1,other,,,,,
94155,vUYz-JgVTAtUGUbQuF7czw,"""Del Taco""",,"""7480 W Lake Mead Blvd""",Las Vegas,NV,89128,36.1964386,-115.2576446,3,28,1,Mexican,,,,,
94362,yie1IIw2dlfy5n6ywvHUvw,"""Capriotti's Sandwich Shop""",Southwest,"""8090 Blue Diamond Rd, Ste 190""",Las Vegas,NV,89178,36.020945,-115.267745,3.5,97,1,other,,,,,
94387,xOhrSum1TFNPvpw-MEgtQg,"""Jack In The Box""",Southeast,"""2389 E Windmill Ln""",Las Vegas,NV,89123,36.04186,-115.1193403,3.5,9,0,Fast Food,,,,,
94456,t4bBKVXbr8bIN9nEJIobYg,"""Saffron Flavors of India""",Northwest,"""4450 N Tenaya Way, Ste 115""",Las Vegas,NV,89129,36.24172,-115.250134,4,285,1,other,,,,,
94556,u2kQSydBjZkGyX5OWLQROA,"""La Flor Es Michoacan""",Eastside,"""4161 S Eastern Ave""",Las Vegas,NV,89119,36.1131093,-115.1201454,4,20,1,Mexican,,,,,
94586,pvLUYFU0zF7ADbK0sPkslg,"""Arby's""",,"""6010 W Flamingo Rd""",Las Vegas,NV,89103,36.114953,-115.223163,3,22,1,other,,,,,
94665,#NAME?,"""Viva Salsa""",,"""4111 Boulder Hwy""",Las Vegas,NV,89121,36.1337103,-115.0850568,4.5,8,1,Mexican,,,,,
94828,03hgFWEcDg205hOCnswwiQ,"""RE Tapas""",Southeast,"""467 E Silverado Ranch Blvd""",Las Vegas,NV,89123,36.0121499,-115.1533034,3.5,25,0,other,,,,,
94907,X8ZXYgiIXV9kDmlDfbnLjA,"""Mariscos El Mariachi #2""",Sunrise,"""1725 N Nellis Blvd""",Las Vegas,NV,89115,36.1908675,-115.0625934,3.5,3,1,Mexican,,,,,
94914,Ae91-YlrGnHKq7KXD1WDxw,"""ABX American Burger Works""",The Strip,"""3850 Las Vegas Blvd S""",Las Vegas,NV,89109,36.09842202,-115.1752584,3.5,53,0,other,,,,,
94940,i5EhA_T8_eWLr4_4DGDS5w,"""Pizza Hut""",Summerlin,"""2233 N. Rampart, #3A""",Las Vegas,NV,89128,36.20184,-115.282175,2,32,1,other,,,,,
95201,pF7994Vz1kuReP9f-4HOng,"""El Pollo Loco""",,"""4005 S Decatur Blvd""",Las Vegas,NV,89103,36.1175205,-115.2084649,2.5,45,1,Mexican,,,,,
95205,rVS0ASzAtN9vCUcrXMzGEw,"""Juke N Java""",Eastside,"""3025 E Sahara Ave""",Las Vegas,NV,89104,36.143292,-115.108703,4,4,1,other,,,,,
95289,4OeBE57Hs4WMLOTtT32d1Q,"""Bubba D's BBQ""",Centennial,"""6050 Sky Pointe Dr""",Las Vegas,NV,89130,36.2714828,-115.2606002,2,16,0,other,,,,,
95302,M990h0-4g-wpJN-qlnqFAg,"""Diamond China Restaurant""",Westside,"""3909 W Sahara Ave, Ste 10""",Las Vegas,NV,89102,36.1440254,-115.1938769,3.5,45,0,Chinese,,,,,
95378,irzQzlXJPhny2QtMa-94-Q,"""Straight From Philly Steakout""",Spring Valley,"""5060 S Fort Apache Rd, Ste 175""",Las Vegas,NV,89148,36.0967114,-115.296528,4.5,3,0,other,,,,,
95432,9U4Tqt5SkZKQ6eeH6IPSxQ,"""Ohjah Japanese Steakhouse""",,"""2051 N Rainbow Blvd, Ste 102""",Las Vegas,NV,89108,36.1987541,-115.2427914,4.5,277,1,Japanese,,,,,
95435,8IEay5jgk3FOTur5tUvsaQ,"""eatwell""",The Strip,"""3595 S Las Vegas Blvd""",Las Vegas,NV,89109,36.1150489,-115.1718307,4.5,9,1,other,,,,,
95564,WZkBbxwAR2fZWVIo8zKtnw,"""Aristocrat BBQ & Noodle House""",Westside,"""9440 W Sahara Ave, Ste 175""",Las Vegas,NV,89117,36.1455794,-115.3006961,3,7,0,other,,,,,
95615,VsnsZkqEG_gg6Gsg7NdDhA,"""Pizza Hut""",Westside,"""3001 W. Sahara Ave.""",Las Vegas,NV,89102,36.14395704,-115.1824129,2,39,1,other,,,,,
95738,Em_U9esTgiJfb9kIZL36kw,"""Subway""",Southeast,"""6500 Boulder Hwy""",Las Vegas,NV,89122,36.08361283,-115.0327397,2.5,8,1,Fast Food,,,,,
95841,dPbvWt-6YVxtGkeh7f9JpQ,"""Firehouse Subs""",Southeast,"""9555 S Eastern Ave, Ste 130""",Las Vegas,NV,89123,36.01614534,-115.1194084,4,123,1,Fast Food,,,,,
95892,y5fwt6pAKnvYOSn-xOUepA,"""Cafe Ba-Ba-Reeba""",The Strip,"""Fashion Show Mall, 3200 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1272241,-115.1715512,3.5,96,0,other,,,,,
95986,BwrqExMsgZZ6VJnSfEEkdw,"""Pho Pasteur & Grill""",Chinatown,"""5600 Spring Mountain Rd, Ste B""",Las Vegas,NV,89146,36.1265084,-115.2182851,2.5,3,0,other,,,,,
95990,OG88JYN1t41_qqREXq3VIA,"""Manila Seafood Fresh & Ready""",Downtown,"""1221 E Sahara Avenue""",Las Vegas,NV,89104,36.1453449,-115.135507,2.5,7,0,other,,,,,
96033,KeKvq5TVppF8fnFkmiiqIQ,"""Taco Tio""",Southeast,"""430 E Silverado Ranch Blvd, Ste 100""",Las Vegas,NV,89123,36.01979,-115.15036,3,14,0,Mexican,,,,,
96035,5o7Fx7Iot-gLKVNegLLw-w,"""El Santaneco""",University,"""4632 S Maryland Pkwy, Ste 7""",Las Vegas,NV,89119,36.1049744,-115.1359993,3.5,27,0,Latin American,,,,,
96040,tzLBPCVz6uB7vWgDTU6Ujw,"""McDonald's""",Downtown,"""1195 E Sahara Ave""",Las Vegas,NV,89104,36.14354366,-115.1374128,1.5,32,1,Fast Food,,,,,
96178,sQT0FtN5tpsS3TxBd2FFRw,"""Mega Ramen & Thai Noodle""",Westside,"""4251 W Sahara Ave""",Las Vegas,NV,89102,36.1440506,-115.1987076,3.5,14,0,other,,,,,
96236,QyyDWCG4Z7z6fHYFPQVFnw,"""Del Taco""",,"""5955 W Tropicana Ave""",Las Vegas,NV,89103,36.0996345,-115.2231986,3,42,1,Mexican,,,,,
96258,F2daTLKFb2-hG5ysrJIQ5Q,"""Regale Ristorante Italiano""",The Strip,"""3850 Las Vegas Blvd S""",Las Vegas,NV,89119,36.098909,-115.175557,2.5,7,0,Italian,,,,,
96305,LJvGjabschy4zGXwnAk2Wg,"""Zanzibar Cafe""",The Strip,"""Aladdin Casino & Resort, 3667 Las Vegas Blvd S.""",Las Vegas,NV,89109,36.1096948,-115.1701624,3,6,0,American,,,,,
96306,CVRTly4ag_q5ua0R3iqrVw,"""Ku Noodle by José Andrés""",The Strip,"""SLS Las Vegas, 2535 S Las Vegas Blvd""",Las Vegas,NV,89109,36.1427564,-115.1578748,4,231,0,Chinese,,,,,
96375,31cOttU_tML5b6eLLXZfsQ,"""Go!ku""",Chinatown,"""4300 W Spring Mountain Rd, Ste 108""",Las Vegas,NV,89102,36.12690085,-115.1978033,4,346,0,other,Japanese,,,,
96493,rkVTKhUDO-VtrIu8esB75g,"""Tiger Wok & Ramen""",The Strip,"""3570 South Las Vegas Blvd""",Las Vegas,NV,89109,36.11818226,-115.175705,2.5,72,1,Japanese,,,,,
96582,f9cIbhLyBz_qTEfMLfwrrQ,"""Lulu Hawaiian BBQ""",,"""6512 N Decatur Blvd, Ste 110""",Las Vegas,NV,89131,36.27859518,-115.2060102,3.5,121,1,other,,,,,
96628,XhgFynFD7ZT77wofWpeOag,"""Mt Charleston Lodge Restaurant""",,"""5375 Kyle Canyon Rd""",Las Vegas,NV,89124,36.2576388,-115.6447412,3.5,275,1,other,,,,,
96746,q3YnYPjLuBGRDi_59yTC5g,"""Sidestreet Pho and Grill""",Westside,"""8560 W Desert Inn Rd, Ste D1""",Las Vegas,NV,89117,36.1300289,-115.2777727,4.5,470,1,American,,,,,
97001,FooKqQJ3UnsIG2slFPuLRA,"""Canter's Delicatessen""",The Strip,"""Treasure Island Casino, 3300 Las Vegas Blvd S""",Las Vegas,NV,89109,36.124467,-115.171033,3.5,142,0,other,,,,,
97017,94dJrwA458khavCv5i7gKA,"""DiMartino's Italian Restaurant""",Southeast,"""8810 S Maryland Pkwy, Ste 120""",Las Vegas,NV,89123,36.0296647,-115.1361526,3.5,11,0,Italian,,,,,
97059,ZxTdfZ0No_6Hx-184p22Rg,"""Asían Fresh""",Eastside,"""145 E Harmon Ave""",Las Vegas,NV,89109,36.1079121,-115.1659357,3,4,1,other,,,,,
97079,m51uL1LZhKYf2y_yG4NEng,"""Pho 87""",Chinatown,"""3620 S Jones Blvd""",Las Vegas,NV,89103,36.1233694,-115.2246118,3.5,292,1,other,,,,,
97100,i7VXx6AGmXtujc0kC1mUrw,"""Capozzoli's Italian Restaurant""",Eastside,"""3333 S Maryland Pkwy""",Las Vegas,NV,89169,36.1289807,-115.1374885,4,5,0,Italian,,,,,
97172,69SHzcXpZCuLwCG1X4l4_Q,"""Fountains Brunch""",The Strip,"""Bellagio Las Vegas, 3600 Las Vegas Blvd""",Las Vegas,NV,89109,36.1140695,-115.1730038,4.5,7,0,American,,,,,
97179,pUUgVNS5nBSoCJsBa3fDGw,"""The Sushi""",Summerlin,"""8427 W Lake Mead Blvd""",Las Vegas,NV,89128,36.197453,-115.279707,3.5,210,0,Japanese,,,,,
97415,eZsvH0PfIlFn-qL486Bj3g,"""Taco Bell""",Westside,"""6110 W Sahara Ave""",Las Vegas,NV,89102,36.14472691,-115.2257645,2.5,5,0,Fast Food,,,,,
97508,fdLR0YxQUHuxxA-GkkHqPA,"""Señor Pollo Restaurant""",,"""5485 W Flamingo Rd""",Las Vegas,NV,89103,36.114652,-115.216013,4,11,0,Fast Food,,,,,
97534,GH5gbLHw05toW6ePNIUzTw,"""Los Toritos Express""",Sunrise,"""5780 E Charleston Blvd""",Las Vegas,NV,89110,36.159948,-115.0477408,4,7,0,Mexican,,,,,
97565,lc_y2c4Guq_k54mNY_fh9g,"""W Mart""",Eastside,"""953 E Sahara Ave, Ste A-7""",Las Vegas,NV,89104,36.14095357,-115.1420074,4,17,1,other,,,,,
97792,BuHbMNbCQzzYi-3Y5w1c4Q,"""The Habit Burger Grill""",Eastside,"""365 Hughes Ctr Dr""",Las Vegas,NV,89169,36.1149584,-115.1555933,4.5,231,1,other,,,,,
97856,NUpRBNSWuhRQ2tze3-A-Ng,"""Buffet Roundtable""",The Strip,"""Excalibur Hotel Casino, 3850 Las Vegas Blvd S""",Las Vegas,NV,89109,36.09887835,-115.1756406,2,187,0,American,,,,,
97987,BzqwAx_KlRPAMGXw1xHXag,"""Garden Cafe""",Southeast,"""7435 S Eastern Ave, Ste 110""",Las Vegas,NV,89123,36.02395515,-115.15036,4,23,0,Mediterranean,,,,,
98072,pXQV_vlMtQt---3W_do9Zg,"""Maru's Pizza & Italian Bistro""",Westside,"""8125 W Sahara Ave, Ste 170""",Las Vegas,NV,89117,36.14284504,-115.2685006,4,53,0,Italian,,,,,
98118,0ifI4JjTKcgfBSQiAnMmsQ,"""The Mad Greek Cafe""",Westside,"""2330 S Rainbow Blvd""",Las Vegas,NV,89146,36.146244,-115.242347,3,19,0,other,,,,,
98274,R_z9LFtqbBB9pANO530w9w,"""Bruno's Taco Bar""",Spring Valley,"""6415 S Fort Apache Rd, Ste 105""",Las Vegas,NV,89148,36.0715893,-115.2984465,5,6,1,Mexican,,,,,
98290,LcTlT1Uf6XckMjWwRr49sQ,"""Einstein Bros""",Northwest,"""8300 W Cheyenne Ave""",Las Vegas,NV,89129,36.2188421,-115.2746347,2.5,57,1,other,,,,,
98317,uEMrBEw8En3yEzquXqeEuw,"""Tommy's Hamburgers""",Southeast,"""2635 E Tropicana Ave""",Las Vegas,NV,89121,36.0996154,-115.1134551,4.5,3,0,other,,,,,
98384,7yYexN1Q5ShE_z1MH2TDTw,"""Sammy's LA Pastrami & Burgers""",Eastside,"""2191 E Tropicana Ave""",Las Vegas,NV,89119,36.1000026,-115.1222548,3,407,1,other,,,,,
98526,f1L-fI_wM5aH7_YG7WcUaA,"""Campus Commons Food Court""",Westside,"""6475 West Charleston Blvd""",Las Vegas,NV,89146,36.1587068,-115.2367353,3,8,1,Fast Food,,,,,
98733,25uxgxlqp7sW5F15wguyIA,"""Jack In the Box""",Eastside,"""2550 S Maryland Pkwy""",Las Vegas,NV,89109,36.1427916,-115.1364955,2.5,6,1,other,,,,,
98941,I6IOs1NVUf3d2OQB4TyKSw,"""BaBa's Chinese Kitchen""",,"""6679 Smoke Ranch Rd""",Las Vegas,NV,89108,36.20300238,-115.2415833,3,5,0,Chinese,,,,,
98942,gtffarZ2Y_rLfCegMg-nqw,"""Chipotle Mexican Grill""",The Strip,"""3200 Las Vegas Blvd S""",Las Vegas,NV,89109,36.127275,-115.173131,3,82,1,Mexican,,,,,
99081,glkEaoxbewiSMBiXs945JA,"""800 Degrees""",The Strip,"""3770 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1050207,-115.1735947,3.5,465,0,other,,,,,
99183,pzhjeutsSFcFEDbLp67oeg,"""El Cochinito Contento""",Eastside,"""3425 E Flamingo Rd""",Las Vegas,NV,89121,36.11469685,-115.1003191,5,4,1,Mexican,,,,,
99230,Cpb142L849ilMzgiSR4a0w,"""Tina's Filipino Cuisine""",Southwest,"""7720 S Jones Blvd, Ste 105""",Las Vegas,NV,89139,36.04888424,-115.2244692,4,204,1,other,,,,,
99348,wOmtCPiB-xeU-HknjTW4hQ,"""China One""",Summerlin,"""2239 N Rampart Blvd""",Las Vegas,NV,89128,36.2006899,-115.281657,3.5,32,1,Chinese,,,,,
99380,UJuxtm4DtomSaFlfK0X7fg,"""NM Café""",The Strip,"""3200 Las Vegas Blvd""",Las Vegas,NV,89109,36.1272241,-115.1715512,4,45,1,American,,,,,
99384,2xCswTbQwG6CVka0U3XayQ,"""Pho Kitchen""",Chinatown,"""3650 S Decatur Blvd, Ste 24""",Las Vegas,NV,89103,36.1235575,-115.2075378,4,20,1,other,,,,,
99399,k1q9f7aJ2TsoSbeA8Qm1aA,"""Lao Sze Chuan""",,"""4321 W Flamingo Rd""",Las Vegas,NV,89103,36.114539,-115.195684,3,138,0,Chinese,,,,,
99400,pH0BLkL4cbxKzu471VZnuA,"""SUSHISAMBA - Las Vegas""",The Strip,"""3327 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1245819,-115.1675529,4,2101,1,other,,,,,
99454,wsdxhfW0aVf7ayMqId1HmA,"""Courtyard Grill & Buffet""",Downtown,"""301 Fremont St""",Las Vegas,NV,89101,36.15786743,-115.1148529,2.5,4,1,American,,,,,
99544,EqisTm5p7M27J4NUY5XG_w,"""Potato Corner""",Southeast,"""6605 Las Vegas Blvd""",Las Vegas,NV,89119,36.06772618,-115.1774319,3,41,1,other,,,,,
99671,E7VRsyNQWPteH6_qI4j7bw,"""Thai Pepper""",The Strip,"""2226 Paradise Rd""",Las Vegas,NV,89104,36.14453875,-115.1551743,4,385,1,other,,,,,
99692,GCen6oV-_6PfMP_uKN-dZw,"""Pizzeria Enzo Restaurant""",Southeast,"""9500 S Eastern Ave""",Las Vegas,NV,89123,36.0169498,-115.1185519,4,21,0,Italian,,,,,
99822,6ny0B9pTlMZnu_9dx7PJuA,"""Voga""",The Strip,"""3555 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1163474,-115.1723373,3,6,1,American,,,,,
100044,iO5bjeXWiu1mOqlevgV73Q,"""Aqua Restaurant and Lounge""",Chinatown,"""6000 Spring Mtn Rd, Ste 2B""",Las Vegas,NV,89146,36.126019,-115.223389,4,5,0,other,,,,,
100049,3-Bm90nXNtwLFyDtlj9olQ,"""Myung Sung""",Eastside,"""953 E Sahara Ave, Ste E-33""",Las Vegas,NV,89104,36.1421289,-115.1423943,4,24,0,other,,,,,
100128,iw1WJt3wl6-NquZGKVamLw,"""Desi Burrito""",Eastside,"""670 E Flamingo Rd""",Las Vegas,NV,89119,36.1150593,-115.1487308,4,99,1,other,,,,,
100323,Wc1i5QsTKheJq6lstPAllA,"""Little Caesars Pizza""",Downtown,"""1758 E Charleston Blvd""",Las Vegas,NV,89104,36.1583654,-115.1260071,2.5,15,1,other,,,,,
100405,LwXo16VrGPhhOWc_Wj7ifw,"""OM Restaurant""",Southeast,"""9400 S Eastern Ave, 106A""",Las Vegas,NV,89123,36.01813065,-115.1180544,4,53,0,other,,,,,
100420,3LQhD2j97GuVIDAciQzX2Q,"""Firehouse Subs""",Sunrise,"""2208 S Nellis Blvd, Ste 7""",Las Vegas,NV,89104,36.14702322,-115.064922,4,46,1,other,,,,,
100537,VIH-XvIPwAh3NqLmDbvZKw,"""Pho at The Coffee Shop""",The Strip,"""3300 S Las Vegas Blvd""",Las Vegas,NV,89115,36.12472674,-115.1717649,2.5,115,1,other,,,,,
100701,cW-guonyUbsjZ7b7tXauHw,"""Sassy Sal's BBQ""",Centennial,"""7785 N Durango Dr, Ste 105""",Las Vegas,NV,89131,36.30256691,-115.2823852,3,49,0,other,,,,,
101007,0lxyY2bwmpde2QHcnh8fZQ,"""Sahara Buffet""",The Strip,"""2535 Las Vegas Blvd S""",Las Vegas,NV,89136,36.1423378,-115.1563054,2,46,0,Buffets,,,,,
101136,LZSyWy4IHgXg6QhW2jrBlw,"""Romano's Macaroni Grill""",,"""2400 W Sahara Ave""",Las Vegas,NV,89102,36.144605,-115.174916,3,125,1,Italian,,,,,
101213,r7UZDbth0NtbZDJKq1-JyQ,"""Varadero Cuban Restaurant""",Northwest,"""5081 N Rainbow Blvd, Ste 100""",Las Vegas,NV,89130,36.254519,-115.242815,4,18,0,other,,,,,
101452,mlOFd0pHDcav5hcnbKJiXQ,"""Kuben""",Spring Valley,"""5025 S Fort Apache Rd, Ste 105""",Las Vegas,NV,89148,36.0979679,-115.2977961,4.5,62,1,Japanese,,,,,
101498,sVrkLeKlDfCKjQWfcHVqrg,"""Popeyes Louisiana Kitchen""",,"""2421 W Bonanza Rd""",Las Vegas,NV,89106,36.1769889,-115.1744417,2,29,1,Fast Food,,,,,
101614,#NAME?,"""Taco Bell""",Spring Valley,"""3595 S Durango Dr""",Las Vegas,NV,89147,36.12449245,-115.2793863,2.5,21,1,Fast Food,,,,,
101690,8z5yR4GrOmdhy9RvNt_Djg,"""TastyBunz""",Spring Valley,"""""",Las Vegas,NV,89148,36.0612353,-115.2896852,3.5,55,0,other,,,,,
101777,qIF_4ChsmJkCvqVQv_qi-g,"""La Rue Marche Cafe""",Eastside,"""2710 E Desert Inn Rd""",Las Vegas,NV,89121,36.130158,-115.113364,3.5,7,0,Mediterranean,,,,,
101809,3s8PNggIbgeSsjqM6HKOCg,"""The Verdict's Inn""",Downtown,"""801 Las Vegas Blvd S.""",Las Vegas,NV,89101,36.160555,-115.145874,3,14,0,American,,,,,
101810,6TSpAuUdmo2UEn9emgd8xg,"""Simply Pure by Chef Stacey Dougan""",Downtown,"""707 Fremont St, Ste 1310""",Las Vegas,NV,89101,36.1679035,-115.138142,4.5,316,1,other,,,,,
101929,RRw9I8pHt5PzgYGT2QeODw,"""Grimaldi's Pizzeria""",Westside,"""750 S Rampart Blvd, Ste 7""",Las Vegas,NV,89145,36.16409898,-115.2897277,4,459,1,other,,,,,
101958,KTzBUAzUfFqvttyjWi_irw,"""Sinaloa Tacos""",,"""2027 N Decatur Blvd""",Las Vegas,NV,89108,36.19587,-115.206444,4.5,29,1,other,,,,,
102011,S1Bs_x9aHFFZozwJLCNTgQ,"""Chicken Bonz""",Spring Valley,"""8680 Warm Springs""",Las Vegas,NV,89113,36.056075,-115.280912,4,49,0,other,,,,,
102039,XiVHxG2nUSp_bn4dBbs4Cg,"""Sushi House Manda""",Spring Valley,"""4790 S Ft. Apache Rd""",Las Vegas,NV,89147,36.102015,-115.2965319,5,4,0,Japanese,,,,,
102112,cxnbk6t6L3jnfT5n2Hbl3Q,"""SinCity Burgers""",Centennial,"""7920 W Tropical Pkwy, Ste 170""",Las Vegas,NV,89149,36.2714625,-115.2676299,3,71,0,other,,,,,
102216,w6zW6gIyg1sI5V6Wag_SYg,"""Teppan Bento""",Southeast,"""467 E Silverado Ranch, Unit 125""",Las Vegas,NV,89183,36.0125177,-115.1526505,4.5,299,1,Japanese,,,,,
102274,_0ZIFTvfcA3UETO_S_JTNA,"""McDonald's""",Westside,"""4411 W Sahara Ave""",Las Vegas,NV,89102,36.1439723,-115.2003406,2,45,1,other,,,,,
102353,aHFkZDm8g27zpzydNE8OMg,"""7 Sinful Subs""",University,"""4632 S Maryland Pkwy""",Las Vegas,NV,89119,36.1049744,-115.1359993,4.5,85,1,other,,,,,
